CommunityArea,CommunityName,Side
0,,
1,Rogers Park,Far North Side
2,West Ridge,Far North Side
3,Uptown,Far North Side
4,Lincoln Square,Far North Side
5,North Center,North Side
6,Lakeview,North Side
7,Lincoln Park,North Side
8,Near North Side,Central
9,Edison Park,Far North Side
10,Norwood Park,Far North Side
11,Jefferson Park,Far North Side
12,Forest Glen,Far North Side
13,North Park,Far North Side
14,Albany Park,Far North Side
15,Portage Park,Northwest Side
16,Irving Park,Northwest Side
17,Dunning,Northwest Side
18,Montclare,Northwest Side
19,Belmont Cragin,Northwest Side
20,Hermosa,Northwest Side
21,Avondale,North Side
22,Logan Square,North Side
23,Humboldt Park,West Side
24,West Town,West Side
25,Austin,West Side
26,West Garfield Park,West Side
27,East Garfield Park,West Side
28,Near West Side,West Side
29,North Lawndale,West Side
30,South Lawndale,West Side
31,Lower West Side,West Side
32,Loop,Central
33,Near South Side,Central
34,Armour Square,South Side
35,Douglas,South Side
36,Oakland,South Side
37,Fuller Park,South Side
38,Grand Boulevard,South Side
39,Kenwood,South Side
40,Washington Park,South Side
41,Hyde Park,South Side
42,Woodlawn,South Side
43,South Shore,South Side
44,Chatham,Far Southeast Side
45,Avalon Park,Far Southeast Side
46,South Chicago,Far Southeast Side
47,Burnside,Far Southeast Side
48,Calumet Heights,Far Southeast Side
49,Roseland,Far Southeast Side
50,Pullman,Far Southeast Side
51,South Deering,Far Southeast Side
52,East Side,Far Southeast Side
53,West Pullman,Far Southeast Side
54,Riverdale,Far Southeast Side
55,Hegewisch,Far Southeast Side
56,Garfield Ridge,Southwest Side
57,Archer Heights,Southwest Side
58,Brighton Park,Southwest Side
59,McKinley Park,Southwest Side
60,Bridgeport,South Side
61,New City,Southwest Side
62,West Elsdon,Southwest Side
63,Gage Park,Southwest Side
64,Clearing,Southwest Side
65,West Lawn,Southwest Side
66,Chicago Lawn,Southwest Side
67,West Englewood,Southwest Side
68,Englewood,Southwest Side
69,Greater Grand Crossing,South Side
70,Ashburn,Far Southwest Side
71,Auburn Gresham,Far Southwest Side
72,Beverly,Far Southwest Side
73,Washington Heights,Far Southwest Side
74,Mount Greenwood,Far Southwest Side
75,Morgan Park,Far Southwest Side
76,O'Hare,Far North Side
77,Edgewater,Far North Side